1,0.069734,0.4070,0.5969
2,0.044725,0.6117,0.6315
3,0.037691,0.6664,0.6847
4,0.033311,0.7002,0.7161
5,0.030060,0.7213,0.7116
6,0.027502,0.7381,0.7399
7,0.025931,0.7499,0.7465
8,0.024353,0.7598,0.7692
9,0.023211,0.7684,0.7638
10,0.022055,0.7769,0.7684
11,0.021190,0.7806,0.7694
12,0.020322,0.7868,0.7811
13,0.019665,0.7923,0.7802
14,0.018919,0.7959,0.7834
15,0.018455,0.7993,0.7789
16,0.017945,0.8028,0.7646
17,0.017606,0.8045,0.7934
18,0.017087,0.8054,0.7844
19,0.016845,0.8097,0.7951
20,0.016262,0.8152,0.7839
21,0.016014,0.8154,0.7948
22,0.015432,0.8209,0.7957
23,0.015427,0.8200,0.7783
24,0.015171,0.8233,0.7857
25,0.015005,0.8248,0.7888
26,0.014832,0.8254,0.7981
27,0.014286,0.8317,0.7900
28,0.014320,0.8311,0.7968
29,0.014058,0.8332,0.7958
30,0.014066,0.8322,0.8094
31,0.013610,0.8370,0.7961
32,0.013622,0.8356,0.7818
33,0.013468,0.8361,0.8125
34,0.013497,0.8381,0.8051
35,0.013329,0.8381,0.7993
36,0.013227,0.8400,0.7978
37,0.012975,0.8423,0.8038
38,0.012888,0.8436,0.7970
39,0.012701,0.8434,0.8027
40,0.012680,0.8445,0.7840
41,0.012847,0.8420,0.8122
42,0.012537,0.8456,0.7824
43,0.012390,0.8456,0.7936
44,0.012347,0.8472,0.8079
